Word,SentimentScore
Win,0.5859
Free,0.5106
Honest,0.5106
Comfortable,0.5106
Friend,0.4939
Hand,0.4939
care,0.4939
welcome,0.4588
Interest,0.4588
grateful,0.4588
Interest,0.4588
Interest,0.4588
Interest,0.4588
Good,0.4404
Profit,0.4404
Safe,0.4404
Gaining,0.4215
Special,0.4019
Help,0.4019
Credit,0.3818
Credit,0.3818
Like,0.3612
like,0.3612
Thank,0.3612
Value,0.34
Security,0.34
Calm,0.3182
Attachment,0.296
Share,0.296
Vitamin,0.296
God,0.2732
God,0.2732
God,0.2732
Urgent,0.2023
Playing,0.2023
Escape,0.1779
"Invite,",0.1531
Emotional,0.1531
Legal,0.128
number,0.0772
number,0.0772
Number,0.0772
number,0.0772
Freeze,0.0516
Apology,0.0516
Collide,-0.0772
Pay,-0.1027
Hard,-0.1027
Hide,-0.1779
Hide,-0.1779
Cramp,-0.2023
Forget,-0.2263
Reluctant,-0.25
Fatigue,-0.25
Low,-0.2732
Cut,-0.2732
Risk,-0.2732
Low,-0.2732
Pressure,-0.296
Stop,-0.296
Complaint,-0.296
pressure,-0.296
Lost,-0.3182
Loss,-0.3182
Loss,-0.3182
Fire,-0.34
Irritability,-0.34
Debt,-0.3612
Obstacle,-0.3612
Sore,-0.3612
Emergency,-0.3818
Ache,-0.3818
Fight,-0.3818
Flu,-0.3818
Lose,-0.4019
Problem,-0.4019
Illness,-0.4019
Trouble,-0.4019
Lose,-0.4019
Weakness,-0.4215
Unhappy,-0.4215
Stress,-0.4215
Beating,-0.4588
Gross,-0.4767
attack,-0.4767
Broken,-0.4767
Sad,-0.4767
sad,-0.4767
Collapse,-0.4939
Fear,-0.4939
Pain,-0.5106
Pain,-0.5106
Pain,-0.5106
Hurt,-0.5267
Bad,-0.5423
Poison,-0.5423
Stealing,-0.5719
Depression,-0.5719
Die,-0.5994
Death,-0.5994
Crisis,-0.6249
Evil,-0.6597
Rape,-0.6908
